Date,Open,High,Low,Close,Volume,SMAVG (15)
2013-05-07 12:30,162.232,162.495,162.21,162.45,7789210,11013944
2013-05-07 11:30,162.17,162.27,162,162.23,7084026,11162349
2013-05-07 10:30,161.96,162.25,161.9,162.17,10923527,11698641
2013-05-07 9:30,162.13,162.43,161.67,161.9601,26003596,13109131
2013-05-06 15:30,161.79,161.91,161.69,161.78,12982475,12123799
2013-05-06 14:30,161.97,161.97,161.76,161.79,5764813,11846634
2013-05-06 13:30,161.84,162.01,161.82,161.96,5235253,11925685
2013-05-06 12:30,161.77,161.87,161.74,161.83,4192267,12068888
2013-05-06 11:30,161.6,161.87,161.48,161.78,6864873,12412247
2013-05-06 10:30,161.779,161.84,161.46,161.61,9038667,12939251
2013-05-06 9:30,161.49,161.82,161.42,161.7799,16249652,13722676
2013-05-03 15:30,161.46,161.67,161.29,161.32,20528008,13981020
2013-05-03 14:30,161.58,161.6,161.305,161.46,12432998,13639283
2013-05-03 13:30,161.591,161.7,161.505,161.58,8601278,14080643
2013-05-03 12:30,161.7,161.8,161.58,161.6,11518515,14170032
2013-05-03 11:30,161.62,161.74,161.57,161.69,10015286,13878670
2013-05-03 10:30,161.82,161.88,161.6,161.62,15128400,13917942
2013-05-03 9:30,161.14,161.85,161.04,161.81,32080884,14779363
2013-05-02 15:30,159.785,159.84,159.65,159.771,11223615,14010229
2013-05-02 14:30,159.73,159.88,159.66,159.78,8825000,13908864
2013-05-02 13:30,159.8,159.89,159.67,159.73,6950585,13824701
2013-05-02 12:30,159.55,159.87,159.52,159.8,7383287,13844373
2013-05-02 11:30,159.71,159.81,159.52,159.55,9342655,14105226
2013-05-02 10:30,159.22,159.72,159.07,159.702,14769942,14197748
2013-05-02 9:30,158.68,159.27,158.53,159.22,20790038,14994587
2013-05-01 15:30,158.26,158.44,158.1,158.27,20124808,14564997
2013-05-01 14:30,158.955,159.01,158.22,158.26,15401952,13863897
2013-05-01 13:30,158.84,159.11,158.45,158.95,19053402,13307161
2013-05-01 12:30,159.15,159.16,158.62,158.839,9942117,12549177
2013-05-01 11:30,159.19,159.27,158.98,159.16,7148078,12497883
2013-05-01 10:30,158.92,159.31,158.87,159.19,10604372,12749820
2013-05-01 9:30,159.33,159.41,158.77,158.92,28049712,13204212
2013-04-30 15:30,159.5,159.72,159.46,159.68,20543876,12189987
2013-04-30 14:30,159.46,159.6,159.32,159.5,9703137,11420534
2013-04-30 13:30,159.55,159.67,159.34,159.46,7562561,11220214
2013-04-30 12:30,159.33,159.65,159.3,159.55,7245664,11241598
2013-04-30 11:30,159.22,159.55,159.2,159.33,11296077,11464790
2013-04-30 10:30,158.72,159.27,158.63,159.22,10730484,11544269
2013-04-30 9:30,159.27,159.37,158.61,158.7101,26722532,12283559
2013-04-29 15:30,159.36,159.52,159.18,159.3,14346178,11640055
2013-04-29 14:30,159.58,159.6,159.245,159.365,9608307,12124989
2013-04-29 13:30,159.38,159.65,159.37,159.59,7050916,12124829
2013-04-29 12:30,159.4,159.54,159.33,159.3806,7683646,12162624
2013-04-29 11:30,159.1,159.45,159.02,159.4,9172704,12267430
2013-04-29 10:30,159.0801,159.21,159.01,159.1,10927135,12828656
2013-04-29 9:30,158.67,159.16,158.42,159.08,17420252,13815485
2013-04-26 15:30,158.52,158.57,158.2,158.24,12836329,13475396
2013-04-26 14:30,158.195,158.57,158.14,158.52,9002092,13229484
2013-04-26 13:30,158.21,158.35,158.12,158.19,6698336,13127704
2013-04-26 12:30,157.81,158.27,157.76,158.22,7883315,13076880
2013-04-26 11:30,158.145,158.16,157.73,157.8195,10593546,12938019
2013-04-26 10:30,158.23,158.28,157.93,158.15,12488267,13047664
2013-04-26 9:30,158.33,158.6,157.95,158.23,21819826,13807691
2013-04-25 15:30,158.39,158.7,158.325,158.52,17069976,13363318
2013-04-25 14:30,159.05,159.08,158.27,158.4,21620182,12971216
2013-04-25 13:30,159.13,159.27,158.9392,159.055,9605913,12243656
2013-04-25 12:30,158.815,159.17,158.8,159.1399,7617845,15026570
2013-04-25 11:30,158.85,159.02,158.77,158.8104,9255737,15015932
2013-04-25 10:30,158.83,159.04,158.77,158.865,17591096,15399941
2013-04-25 9:30,158.34,158.9,158.1,158.83,25729566,16267586
2013-04-24 15:30,158.03,158.09,157.75,157.88,12318907,15612380
2013-04-24 14:30,158.15,158.3,158.02,158.03,9147661,15394106
2013-04-24 13:30,157.97,158.17,157.92,158.15,7475394,15441637
2013-04-24 12:30,157.87,158.02,157.66,157.965,5935962,15361220
2013-04-24 11:30,157.96,158.04,157.82,157.87,5800408,15587558
2013-04-24 10:30,157.78,158.1,157.691,157.95,12238219,16159050
2013-04-24 9:30,157.83,158.15,157.54,157.77,23888672,17192296
2013-04-23 15:30,157.75,157.89,157.65,157.78,15154226,16869086
2013-04-23 14:30,157.36,157.79,157.24,157.755,11188459,16584939
2013-04-23 13:30,157.641,157.77,157.35,157.36,10706776,16346366
2013-04-23 12:30,157.89,157.93,156.17,157.65,51349624,16228767
2013-04-23 11:30,157.725,157.92,157.72,157.89,7458270,13666906
2013-04-23 10:30,157.57,157.805,157.5,157.72,15015871,14437479
2013-04-23 9:30,156.95,157.6201,156.89,157.57,30605774,15679221
2013-04-22 15:30,156.31,156.43,156.12,156.17,15901478,14769912
2013-04-22 14:30,156.31,156.54,156.24,156.31,9044796,15173404
2013-04-22 13:30,155.82,156.39,155.76,156.31,9860629,15495290
2013-04-22 12:30,155.73,156,155.682,155.8196,6269133,15464642
2013-04-22 11:30,155.19,155.83,155.16,155.732,9331040,15942543
2013-04-22 10:30,155.03,155.32,154.75,155.2,14372790,16934856
2013-04-22 9:30,155.78,155.99,154.83,155.03,27736904,18504226
2013-04-19 15:30,155.35,155.55,155.31,155.48,19040510,18464984
2013-04-19 14:30,155.28,155.4,154.99,155.35,10892035,18476026
2013-04-19 13:30,155.22,155.37,155.065,155.28,7609864,19031462
2013-04-19 12:30,155.15,155.23,154.881,155.22,8942794,19953442
2013-04-19 11:30,155.2,155.46,155.08,155.15,12921700,20659012
2013-04-19 10:30,154.645,155.36,154.58,155.2,19016864,22159810
2013-04-19 9:30,154.5,154.94,154.12,154.65,33642000,23460170
2013-04-18 15:30,154.09,154.395,154.05,154.16,16966148,22775578
2013-04-18 14:30,154.17,154.22,153.55,154.09,21953856,22544464
2013-04-18 13:30,154.67,154.6799,153.87,154.16,13873084,21795690
2013-04-18 12:30,154.41,154.86,154.3,154.67,9400901,21528418
2013-04-18 11:30,154.62,154.79,154.2,154.415,13437649,21802202
2013-04-18 10:30,154.51,155.19,154.488,154.621,24215738,22300504
2013-04-18 9:30,155.37,155.41,154.05,154.5,37913336,22918436
2013-04-17 15:30,155.28,155.44,154.92,155.04,27148282,23443644
2013-04-17 14:30,155.291,155.49,154.74,155.27,19206140,24553856
2013-04-17 13:30,154.89,155.39,154.85,155.29,19223580,24340200
2013-04-17 12:30,154.37,155.02,154.28,154.88,21439548,24355232
2013-04-17 11:30,155.005,155.17,154.32,154.37,19526352,24218924
